epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,1315.34,1.01367,0.56946,1.06157,0.75156,0.65687,0.69039,0.43491,1.09785,0.65698,1.18654,0.000400977,0.000400977,0.000400977
111,1326.83,0.99894,0.55067,1.03997,0.87305,0.60366,0.71214,0.45557,1.07923,0.6416,1.17525,0.000391546,0.000391546,0.000391546
112,1338.47,1.00918,0.56556,1.05302,0.77621,0.65362,0.71299,0.45217,1.10316,0.65052,1.18906,0.000382115,0.000382115,0.000382115
113,1350.14,1.01664,0.55662,1.04494,0.7371,0.64878,0.70375,0.454,1.08266,0.64379,1.17684,0.000372683,0.000372683,0.000372683
114,1361.44,1.02637,0.57218,1.06484,0.82109,0.62519,0.71315,0.45002,1.09939,0.66761,1.19005,0.000363252,0.000363252,0.000363252
115,1372.93,1.02261,0.56045,1.04377,0.73822,0.66779,0.70967,0.45467,1.08157,0.63752,1.18491,0.00035382,0.00035382,0.00035382
116,1384.32,1.01433,0.55546,1.05763,0.84239,0.61621,0.71002,0.4412,1.08909,0.6561,1.19003,0.000344389,0.000344389,0.000344389
117,1395.85,1.00586,0.5519,1.05123,0.82996,0.66433,0.71048,0.44835,1.09225,0.66015,1.18271,0.000334958,0.000334958,0.000334958
118,1407.8,1.00224,0.55556,1.05213,0.81473,0.63767,0.70972,0.44767,1.08891,0.64684,1.17919,0.000325526,0.000325526,0.000325526
119,1419.4,0.99732,0.55411,1.04449,0.78846,0.66811,0.71363,0.44956,1.10804,0.64817,1.19883,0.000316095,0.000316095,0.000316095
120,1431.42,0.98123,0.54865,1.04742,0.81668,0.62518,0.71231,0.44147,1.09345,0.6538,1.18676,0.000306663,0.000306663,0.000306663
